t	<U>	<P>
0.01	3.01828	4.42616
0.02	2.84544	3.89489
0.03	2.71351	3.54128
0.04	2.60826	3.21721
0.05	2.53922	2.98068
0.06	2.46527	2.74811
0.07	2.41126	2.55837
0.08	2.36119	2.37675
0.09	2.33441	2.26486
0.1	2.29862	2.15894
0.11	2.27752	2.0637
0.12	2.25001	1.96235
0.13	2.22755	1.88058
0.14	2.20621	1.79641
0.15	2.18534	1.70889
0.16	2.1643	1.66334
0.17	2.15505	1.60025
0.18	2.13905	1.54382
0.19	2.1234	1.46852
0.2	2.11264	1.4465
0.21	2.1029	1.41218
0.22	2.0965	1.38331
0.23	2.08695	1.31756
0.24	2.07906	1.26713
0.25	2.07105	1.22968
0.26	2.0622	1.20099
0.27	2.05292	1.15517
0.28	2.04973	1.12676
0.29	2.04602	1.10427
0.3	2.04061	1.0728
0.31	2.04058	1.04962
0.32	2.03159	1.0016
0.33	2.02853	0.9627
0.34	2.02788	0.960396
0.35	2.02265	0.931916
0.36	2.01978	0.915683
0.37	2.02202	0.902319
0.38	2.01798	0.885274
0.39	2.01499	0.870182
0.4	2.01609	0.859694
0.41	2.01142	0.835022
0.42	2.01135	0.831847
0.43	2.01134	0.810549
0.44	2.01524	0.797854
0.45	2.01159	0.796399
0.46	2.006	0.783835
0.47	2.00581	0.745412
0.48	2.00226	0.740901
0.49	2.00625	0.729073
0.5	1.99849	0.722774
0.51	1.99863	0.723604
0.52	1.99723	0.706065
0.53	1.99857	0.689353
0.54	1.99514	0.681606
0.55	1.99765	0.685669
0.56	1.99252	0.673641
0.57	1.99966	0.664165
0.58	1.99022	0.633958
0.59	1.9922	0.611768
0.6	1.98765	0.625394
0.61	1.9885	0.62327
0.62	1.98846	0.606521
0.63	1.98993	0.607201
0.64	1.98622	0.605668
0.65	1.98226	0.575016
0.66	1.98278	0.559673
0.67	1.98105	0.535916
0.68	1.9815	0.52493
0.69	1.97828	0.505331
0.7	1.97759	0.491578
0.71	1.97601	0.499299
0.72	1.97686	0.495644
0.73	1.98176	0.491963
0.74	1.97954	0.481709
0.75	1.97379	0.473669
0.76	1.97748	0.468771
0.77	1.97611	0.465979
0.78	1.97388	0.447013
0.79	1.974	0.446551
0.8	1.97766	0.427907
0.81	1.97044	0.434898
0.82	1.97362	0.434036
0.83	1.97416	0.446804
0.84	1.97734	0.449694
0.85	1.9791	0.453881
0.86	1.97737	0.444596
0.87	1.97567	0.425037
0.88	1.97361	0.422633
0.89	1.97569	0.422812
0.9	1.97151	0.399697
0.91	1.97494	0.396676
0.92	1.98017	0.400997
0.93	1.97231	0.410882
0.94	1.9746	0.411924
0.95	1.97169	0.381683
0.96	1.9738	0.391824
0.97	1.97901	0.39482
0.98	1.97351	0.397788
0.99	1.97747	0.414039
1	1.97529	0.406958
1.01	3.22402	4.88298
1.02	3.21538	5.40623
1.03	3.24528	5.65495
1.04	3.10559	5.39355
1.05	3.0515	5.36271
1.06	2.94844	5.10881
1.07	2.92165	5.01503
1.08	2.86853	4.82966
1.09	2.89408	4.98143
1.1	3.0548	5.49004
1.11	2.94531	5.22597
1.12	2.87869	5.05813
1.13	2.84024	4.89817
1.14	2.76735	4.72347
1.15	2.74211	4.65362
1.16	2.66674	4.46598
1.17	2.71208	4.65842
1.18	2.75992	4.76261
1.19	2.76814	4.82075
1.2	2.72619	4.71963
1.21	2.6797	4.58021
1.22	2.65725	4.54924
1.23	2.67864	4.59746
1.24	2.78175	4.9786
1.25	2.79429	5.02443
1.26	2.80071	5.0567
1.27	2.7573	4.91884
1.28	2.73464	4.85552
1.29	2.70191	4.73774
1.3	2.70293	4.72801
1.31	2.69285	4.68631
1.32	2.68317	4.66373
1.33	2.68406	4.64101
1.34	2.67114	4.613
1.35	2.66571	4.55204
1.36	2.64972	4.52471
1.37	2.67894	4.5919
1.38	2.70981	4.72246
1.39	2.66279	4.61176
1.4	2.71531	4.73808
1.41	2.75897	4.90492
1.42	2.73344	4.84542
1.43	2.70519	4.76054
1.44	2.67796	4.66568
1.45	2.65411	4.64721
1.46	2.68517	4.72025
1.47	2.65822	4.63487
1.48	2.6568	4.63489
1.49	2.66446	4.65698
1.5	2.6987	4.74667
1.51	2.68253	4.71109
1.52	2.6803	4.72395
1.53	2.66898	4.701
1.54	2.64761	4.61364
1.55	2.62554	4.55818
1.56	2.62196	4.55634
1.57	2.61033	4.51292
1.58	2.62163	4.52396
1.59	2.61342	4.51562
1.6	2.63286	4.55702
1.61	2.65228	4.59517
1.62	2.6804	4.73184
1.63	2.64813	4.6565
1.64	2.68769	4.71228
1.65	2.67275	4.6707
1.66	2.65232	4.62519
1.67	2.6552	4.62298
1.68	2.65697	4.60491
1.69	2.69788	4.80633
1.7	2.69275	4.76126
1.71	2.67818	4.69488
1.72	2.67681	4.72371
1.73	2.69574	4.77774
1.74	2.66252	4.69918
1.75	2.66394	4.6815
1.76	2.6415	4.60751
1.77	2.63675	4.60053
1.78	2.627	4.57204
1.79	2.67973	4.70198
1.8	2.741	4.88704
1.81	2.68844	4.77326
1.82	2.70693	4.80207
1.83	2.7179	4.86958
1.84	2.69789	4.78751
1.85	2.67683	4.70716
1.86	2.67962	4.71899
1.87	2.69534	4.75906
1.88	2.71113	4.79971
1.89	2.7044	4.77333
1.9	2.71418	4.81774
1.91	2.7015	4.7629
1.92	2.67161	4.68826
1.93	2.65325	4.61948
1.94	2.6368	4.55116
1.95	2.66154	4.62221
1.96	2.71034	4.8041
1.97	2.71912	4.84717
1.98	2.72098	4.84061
1.99	2.69635	4.79329
2	2.67282	4.72409
2.01	2.66672	4.60611
2.02	2.65943	4.52109
2.03	2.62283	4.38659
2.04	2.65669	4.39142
2.05	2.64809	4.36983
2.06	2.68734	4.40462
2.07	2.67989	4.3893
2.08	2.7158	4.48937
2.09	2.6861	4.39982
2.1	2.66288	4.32677
2.11	2.72033	4.45747
2.12	2.67699	4.35262
2.13	2.65806	4.29294
2.14	2.64315	4.20284
2.15	2.61304	4.08603
2.16	2.65256	4.24202
2.17	2.69926	4.38235
2.18	2.68872	4.3863
2.19	2.68257	4.40491
2.2	2.67031	4.32471
2.21	2.6522	4.27617
2.22	2.62785	4.21486
2.23	2.61163	4.17021
2.24	2.60856	4.11097
2.25	2.68933	4.33084
2.26	2.66467	4.27637
2.27	2.60854	4.13851
2.28	2.62012	4.20608
2.29	2.60736	4.1233
2.3	2.59584	4.10498
2.31	2.58271	4.05373
2.32	2.6225	4.16756
2.33	2.58744	4.08213
2.34	2.60744	4.11808
2.35	2.62833	4.19494
2.36	2.60024	4.11514
2.37	2.65562	4.2967
2.38	2.64385	4.23699
2.39	2.65521	4.31182
2.4	2.65706	4.30216
2.41	2.63978	4.26235
2.42	2.61624	4.19586
2.43	2.60507	4.16494
2.44	2.57785	4.10186
2.45	2.63323	4.28537
2.46	2.60753	4.20482
